Timestamp,Emotion,Confidence
00-00-33.040,angry,"{'angry': 98.5386962890625, 'disgust': 1.8044193916821882e-09, 'fear': 0.00895973015576601, 'happy': 0.006299628876149654, 'sad': 1.3845967054367065, 'surprise': 1.4068407381273573e-06, 'neutral': 0.061441197991371155}"
00-00-33.373,angry,"{'angry': 99.995849609375, 'disgust': 7.734658996182836e-14, 'fear': 3.647621042546234e-06, 'happy': 0.00039951782673597336, 'sad': 0.003386848606169224, 'surprise': 1.714743236291838e-09, 'neutral': 0.0003639375790953636}"
00-00-33.707,sad,"{'angry': 0.0011470785830169916, 'disgust': 2.957003752968035e-09, 'fear': 0.11747164279222488, 'happy': 0.16763639450073242, 'sad': 56.34150695800781, 'surprise': 0.0014473088085651398, 'neutral': 43.370792388916016}"
00-00-34.041,sad,"{'angry': 0.05069369450211525, 'disgust': 5.1153151048310974e-08, 'fear': 0.12156658619642258, 'happy': 0.0009105497156269848, 'sad': 97.8815689086914, 'surprise': 0.0005245228530839086, 'neutral': 1.9447388648986816}"
00-00-34.375,angry,"{'angry': 90.41265106201172, 'disgust': 0.009429343044757843, 'fear': 1.9319871664047241, 'happy': 0.033051393926143646, 'sad': 6.434483051300049, 'surprise': 0.018140986561775208, 'neutral': 1.1602561473846436}"
00-00-34.708,angry,"{'angry': 82.80241394042969, 'disgust': 0.04177875444293022, 'fear': 11.480437278747559, 'happy': 0.011971537955105305, 'sad': 2.2447876930236816, 'surprise': 0.9669516682624817, 'neutral': 2.4516539573669434}"
00-00-35.042,angry,"{'angry': 67.26736450195312, 'disgust': 1.0689618587493896, 'fear': 24.031789779663086, 'happy': 1.8958508968353271, 'sad': 0.3568950295448303, 'surprise': 3.018812417984009, 'neutral': 2.360325813293457}"
00-00-35.376,angry,"{'angry': 64.02046966552734, 'disgust': 4.824899196624756, 'fear': 27.216266632080078, 'happy': 1.290254831314087, 'sad': 0.9600757360458374, 'surprise': 0.2853955030441284, 'neutral': 1.4026461839675903}"
00-00-35.709,angry,"{'angry': 78.72111511230469, 'disgust': 1.3313597440719604, 'fear': 11.900908470153809, 'happy': 6.973318576812744, 'sad': 0.2122819423675537, 'surprise': 0.6609749794006348, 'neutral': 0.20004461705684662}"
00-00-36.043,angry,"{'angry': 89.64529418945312, 'disgust': 0.22959217429161072, 'fear': 7.421149253845215, 'happy': 1.152493953704834, 'sad': 0.040009841322898865, 'surprise': 1.467178225517273, 'neutral': 0.04428424686193466}"
00-00-36.377,angry,"{'angry': 44.63880920410156, 'disgust': 0.3530755639076233, 'fear': 40.967803955078125, 'happy': 0.47053787112236023, 'sad': 0.6238219141960144, 'surprise': 12.333370208740234, 'neutral': 0.6125847697257996}"
00-00-36.711,fear,"{'angry': 0.36256369948387146, 'disgust': 0.005470018833875656, 'fear': 78.04342651367188, 'happy': 0.38926467299461365, 'sad': 1.1554416418075562, 'surprise': 2.402036190032959, 'neutral': 17.641788482666016}"
00-00-37.044,sad,"{'angry': 4.681501388549805, 'disgust': 0.0026994021609425545, 'fear': 0.45914220809936523, 'happy': 2.945356845855713, 'sad': 88.5682601928711, 'surprise': 0.011396382004022598, 'neutral': 3.3316445350646973}"
